"area"|"section"|"map number"|"location"|"description"|"job number"|"number of sheets"|"date"|"cross ref area"|"cross ref section"|"cross ref map number"|"hash"
2|3|137-142|Deer Grove East|Sanitary Sewers for 2 Comfort Stations|85-08|6|5-85|0|0||600|00000208.PDF
2|3|105-107|Camp Reinberg|Sewage Disposal System|10-034/001-7|3|5-75|0|0||602|00000209.PDF
2|3|095-104|Deer Grove Service Area Grove # 2 , Barrington Rd Picnic Area  - Shoe Factory Tract , Indian Boundary G.C.  Service Building|Poplar Creek Roadside Parking Areas Landscape Work|EPR-14-73|10|7-73|0|0||603|00000210.PDF
2|3|094|Deer Grove East|Septic System for Caretaker's Residence|EPR-23-73|1|6-73|0|0||604|00000211.PDF
2|3|084-093|Deer Grove Service Building|Indian Boundary G.C. Service Building Poplar Creek Roadside Picnic area Landscape work|73-30|10|7-73|0|0||605|00000212.PDF
2|3|068-083|Deer Grove East|Entrance Drive and Service Yard|72-20|16|6-72|0|0||606|00000213.PDF
2|3|066-067|Deer Grove East|Chain Link Fencing at Service Yard|EPR-34-72|2|10-72|0|0||607|00000214.PDF
2|3|056-065|Deer Grove East|New Service Building|72-01|10|2-72|0|0||608|00000215.PDF
2|3|053-055|North Side of Dundee Road at Smith Road|Septic System and Water Supply|72-14|3|72|0|0||609|00000216.PDF
2|3|051-052|Camp Reinberg|Landscape Work at Bus Turnaround|EPR 60-71|2|71|0|0||610|00000217.PDF
2|3|046|Camp Reinberg|Study Plan Proposed Facilities|62|1|5-39|0|0||613|00000218.PDF
2|3||Camp Reinberg|WATER SERVICE CAMP REINBERG|||4-46|||||00000219.PDF
2|3|44|Camp Reinberg|SEWERS & SEWAGE DISPOSAL CAMP REINBERG|24-16|||||||00000220.PDF
2|3|040-043|Sleeping Cabins for Children's Summer Camp|Camp Reinberg|80|4|9-39|0|0||566|00000221.PDF
2|3|35|Camp Reinberg|TOPOGRAPHY LOCATION PRESENT BUILDINGS CAMP REINBERG||||||||00000222.PDF
2|3|031-032|Camp Reinberg|Group Camp|SP-46|2|1-38|0|0||569|00000223.PDF
2|3|024-030|Camp Reinberg|Hospital Building|SERIES 411|7|4-40|0|0||570|00000224.PDF
2|3||CAMP REINBERG|UTILITIES SENIOR GIRLS - GROUP CABINS CAMP REINBERG|||6-39|||||00000225.PDF
2|3|22|Camp Reinberg|UTILITIES SEWAGE DISPOSAL PLANT SENIOR GIRLS - GROUP CABINS CAMP REINBERG|||6-39|||||00000226.PDF
2|3|155|Deer Grove Camp|OUTFILL SEWER STREAM CROSSING DEER GROVE CAMP SEWERAGE SYSTEM|15-86||1-36|||||00000227.PDF
2|3|121|Deer Grove Camp|SEWAGE TREATMENT PLANT LAYOUT PLAN DEER GROVE CAMP||||||||00000228.PDF
2|3|007-008|Camp Reinberg|Garage and Tool House|S.P. 38|2|12-35|0|0||577|00000229.PDF
2|3||DEER GROVE CAMP|OUTFALL SEWER DEER GROVE CAMP||||||||00000230.PDF
2|3|001-002|Camp Reinberg||SERIES 189|2|2-27|0|0||579|00000231.PDF
2|3||DEER GROVE|ENTRANCE & PARKING AREA|1119|1||||||00000232.PDF
2|2|024-025|Deer Grove West|Culvert Pipe Installation|98-053|2|12-96|0|0||1886|00000233.PDF
2|2|022-023|Deer Grove East|Landscape Work|92-16|2|6-92|0|0||581|00000234.PDF
2|2|010-021|Deer Grove East|Pavement Striping of Parking Area  Dundee Road East of Smith Road|EPR 9-86|12|4-86|0|0||582|00000235.PDF
2|2|004-009|Deer Grove East|Landscape Work|85-19|6|5-85|0|0||583|00000236.PDF
2|2|001-003|Deer Grove East|Pipe Arch Culvert for Trail -  2300' N. of Dundee Road and 1750' W. of Hicks Road|74-26|3||0|0||584|00000237.PDF
3|12|||DAM I AREA PARKING AREA W. OF DES PLAINES RIVER|35-46||6-40|||||00000238.PDF
3|36||DES PLAINES DIVISION HEADQUARTERS|MECHANICAL SYSTEMS IMPROVEMENTS|05-19.1.2C|1|7-06|||||00000239.PDF
3|36|064-070|5 NORTHEAST SITES COOK COUNTY|UST REMOVALS AND AST REPLACEMENTS|95-23C-3|1|11-98|0|0||1890|00000240.PDF
3|36|062-063|CAMP BADEN POWELL|CONCRETE WELL PLATFORM|EPR 18-91|2|7/5/91|0|0||944|00000241.PDF
3|36|053-061|DES PLAINES DIVISION HDQTRS.|REPLACEMENT OF OVERHEAD DOORS AT VARIOUS LOCATIONS|89-26|9|1-2-90|0|0||945|00000242.PDF
3|36|050-052|DES PLAINES DIV. HDQTRS.|NEW WATER SERVICE|88-11|3|5-5-89|0|0||946|00000243.PDF
3|36|042-049|DES PLAINES DIVISION|DES PLAINES HORSE TRAIL THERMOPLASTIC CROSSING MARKINGS|86-12|8|APRIL '86|0|0||947|00000244.PDF
3|36|039-041|DES PLAINES DIV. HDQTRS. BLDG.|NEW ROOFING|77-27|3|8-17-77|0|0||948|00000245.PDF
3|36|036-038|DES PLAINES DIV HDQTRS.|FENCING SERVICE YARD|73-13|2|4-9-73|0|0||949|00000246.PDF
3|36|034-035|DES PLAINES & INDIAN BOUNDARY DIV. HDQTRS.|PAVING APPROACHES TO STEEL BUILDINGS|EPR-43-71|2|JUNE '71|0|0||950|00000247.PDF
3|36|033|DES PLAINES DIVISION HDQTRS.|GAS PUMP AND STORAGE TANK|EPR-29-71|1|APR. '71|0|0||951|00000248.PDF
3|36|031-032|DES PLAINES DIV. HDQTRS.|SANITARY SEWER FOR WORKSHOP|EPR-61|2|SEPT. 1970|0|0||952|00000249.PDF
3|36|030|DES PLAINES DIV HDQTRS.|WATER SERVICE FOR WORKSHOP|EPR-62|1|SEPT. 1970|0|0||953|00000250.PDF
3|36|019-029|DES PLAINES DIV. & INDIAN BOUNDARY DIV. HDQTRS.|TWO (2) STEEL BUILDINGS|70-41|11|9-18-70|0|0||954|00000251.PDF
3|36|018|DES PLAINES DIV. HDQTRS.|COMFORT STATION UTILITIES|NO. 346|1|AUG. 1935|0|0||955|00000252.PDF
3|36|017|DES PLAINES DIV HDQTRS.|LANDSCAPE PLAN|68-56|1|8-29-68|0|0||956|00000253.PDF
3|36|014-016|DES PLAINES DIV. HDQTRS.|SANITARY SEWER|1141A|3|7-18-67|0|0||957|00000254.PDF
3|36|009-013|DES PLAINES DIV HDQTRS. BUILDING|DRAINAGE AND SEWERS|1031|3|4-47|0|0||958|00000255.PDF
3|36|001|DISTRICT 1 HDQTRS., DAM #2|PUMP HOUSE|ED-30|1|7-11-32|0|0||962|00000256.PDF
3|31|068-069|E.J. BECK LAKE|SHORE PROTECTION|76-29|2|DEC., '76|0|0||920|00000257.PDF
3|31|059-067|BUSSE WDS. (N & S.)-E.J. BECK LAKE- EDGEBROOK G.C.-BILLY CALDWELL G.C.|RESURFACING|7108|9|8-7-67|0|0||921|00000258.PDF
3|31|052-058|CAMP PINE ROAD- LOC. 1|WELL PLATFORMS-1955|7060|7|2-4-55|0|0||922|00000259.PDF
3|31|51||PROJECT LOCATION TRAFFIC LINE MARKING 1968||1|3-68|||||00000260.PDF
3|31|045-046|Beck Lake|LANDSCAPE PLAN|EPR-8|2|2-20-67|0|0||924|00000261.PDF
3|31|044|Beck Lake|BIT. SURF. OF EXIST. SERVICE RD. AND BOAT LAUNCH RAMP|EPR-17|1|10-4-66|0|0||925|00000262.PDF
3|31|040-043|Beck Lake|TWIN ARCH PIPE FOR SERVICE ROAD|1130|4|7-15-66|0|0||926|00000263.PDF
3|31|39|E.J Beck Lake|PLAN OF CONCRETE WHEELSTOPS FOR E. J BECK LAKE|3-31|1|8-63|||||00000264.PDF
3|31|033-038|Beck Lake|SERVICE ROAD AND BOAT LAUNCHING|1110|6|6-65|0|0||928|00000265.PDF
3|31|031-032|CENTRAL ROAD DAM SITE|OUTFALL SEWER|1027|2||0|0||929|00000266.PDF
3|31|30||TOPOGRAPHY DAM NO 2 AREA EAST & NORTH OF DAM - DIV 1||1||||||00000267.PDF
3|31|003-022|E.J. Beck Lake|PARKING AREA AND DRIVE|1087|4|8-63|0|0||933|00000268.PDF
3|31|001-002|NORTH OF CENTRAL ROAD|TRAIL BRIDGE|47-A-B|2|8-26-34|0|0||934|00000269.PDF
3|30|030-031|LAKE AVENUE WOODS (EAST)|NEW PICNIC SHELTER|86-07|2|MAR.14, '86|0|0||910|00000270.PDF
3|30|027-029|DAM #2, DAM #4, CHICK EVANS G.C. WHEALAN POOL, PALOS NATURE CENTER|DRILLING FIVE WELLS|77-22|3|4-77|3|30|27-29|1798|00000271.PDF
3|30|26|LAKE AVE. WOODS|DRAINAGE & EARTHWORK|1112|7|9-63|||||00000272.PDF
3|30|018-019|PLEASANT TREE GARDEN ESTATES|DRAINAGE WORK|1099|2|7-62|0|0||913|00000273.PDF
3|30|016-017|LAKE AVE. EAST, PIPE O'PEACE, THATCHER WOODS, TURNBALL WOODS|LANDSCAPE WORK|7040|2|8-22-51|0|0||914|00000274.PDF
3|30|008-015|LAKE AVENUE EAST|ADDITION TO PARKING AREA AND DRIVE|1047|8|7-50|0|0||915|00000275.PDF
3|30|007||SEWAGE DISPOSAL SYSTEM N.W. SETTLEMENT CAMP||3|2-39|||||00000276.PDF
3|30||Camp Pine|CAMP DORMITORY FOR G. S. OF AMERICA||1||||||00000277.PDF
3|30|003||PARKING SPACES NORTH OF LAKE AVE & EAST OF THE DES PLAINES RIVER|||12-34|||||00000278.PDF
3|30|001-002|NORTH OF LAKE AVENUE|TRAIL BRIDGE|109-B|2|3-34|0|0||919|00000279.PDF
3|25|055-056|Dam # 2 East side of Des Plaines River ,  South of West Lake  , East Abutment|Erosion Control|84-28|2|11-84|0|0||884|00000280.PDF
3|25|052-054|Des Plaines Division|Concrete Barrier Post , Installation - Various Locations|83-29|3|8-83|0|0||885|00000281.PDF
3|25|046-051|Dam # 2 , Skokie Forestry Headquarters , Billy Caldwell Golf Course|Landscape Work - Various Location North|79-16|6|6-79|3|25|46-51|886|00000282.PDF
3|25|037-045|Dam # 2  Woods|Parking Area and Drive|78-14|1|78|0|0||887|00000283.PDF
3|25|*|LAKE AVENUE WDS. (WEST)|NORTH PARKING SPACE|ED-11|4|6-29-33|3|36|02-05|909|00000284.PDF
3|25|030-031|Various Locations|Well Platform and Drains|EF-2|1|5-75|0|0||890|00000285.PDF
3|36|*|Various Locations|WELL PLATFORM REPLACEMENT|EF-5|4|JULY '95|3|25|26-29|941|00000286.PDF
2|4|142-148|Deer Grove Dam # 2 and Various Locations|Well Platforms|7063|7|4-56|0|0||620|00000287.PDF
2|4|179-181|Deer Grove|Well Platforms - 1956|7063|3|1956|0|0||668|00000288.PDF
2|4|014-015|Deer Grove|Trail Bridge|47B|2|3-34|0|0||645|00000289.PDF
2|4|002-004|Deer Grove|Bridge|C-O-62|3|10-32|0|0||652|00000290.PDF
2|3|036-039|Camp Reinberg|Wash and Recreation Building|62|4|11-39|0|0||567|00000291.PDF
3|36|002|DISTRICT 1 HDQTRS., DAM #2|WATER SUPPLY & ELECTRIC SERVICE|ED-30|1|7-20-32|0|0||961|00000292.PDF
3|36|008|DIVISION 1 HDQTRS.|SEPTIC TANK AND FIELD TILE|ED-30|1||0|0||959|00000293.PDF
3|36|003-007|DISTRICT HDQTRS., DIV. 1|BUILDING|ED-30|5|5-17-32|0|0||960|00000294.PDF
3|31|024-027|E.J. Beck Lake|LANDSCAPE, PARKING AREA AND DRIVE|1087|4|8-7-63|0|0||931|00000295.PDF
3|25|032|Dam # 2 Area Development|South Parking Space|ED-11|1|1-26-33|0|0||889|00000296.PDF
3|25|033-036|Dam # 2  Woods , Lake Avenue North|North Parking Space|ED-11|1|6-29-33|0|0||888|00000297.PDF
3|25|026-029|Various Locations|Well Platform Replacement|EF-5|0||0|0||891|00000298.PDF
3|25|016-025|Lake Avenue Woods  W|Parking Area and Drive|72-40|10|3-21-73|0|0||893|00000299.PDF
3|25|013-015|Lake Avenue Woods W. Golf road E of Sutton Road - Bode Road - W of Barrington Road|Woods Rail Fencing Plan|EPR-16-74|3|3-74|0|0||895|00000300.PDF
3|25|006-012|Lake Avenue Woods W. St. Paul - Miami Woods E - Pipe O' Peace Golf Practice Range - King's Grove|Traffic Line Markings|EPR-7-74|7|1-74|3|25|14-20|1804|00000301.PDF
3|25|005|Des Plaines Division - Lake Avenue Woods West|Landscape Plan|EPR-12-74|1|FEB. '74|0|0||897|00000302.PDF
3|25|002-004|Lake Avenue West and Lions Woods|Repair and Rehab of Two Shelters|71-13|3|5-28-71|0|0||898|00000303.PDF
3|25|001|LAKE AVENUE WOODS|SPLIT RAIL FENCING|7042|1||0|0||899|00000304.PDF
3|19|164-169|Allison Woods|Des Plaines River Canoe Access Area|95-102|6|12-95|0|0||879|00000305.PDF
3|19|159-163|River Trial Nature Center|Native Landscape Planting|92-03|5|2-92|0|0||835|00000306.PDF
3|19||RIVER TRAIL NATURE CENTER|WATER LINE FOR ANIMAL CAGES|94-16|||||||00000307.PDF
3|19|153-158|River Trail Nature Center|Construction of Concrete Walks and Nature Trail|92-04|6|2-92|0|0||836|00000308.PDF
3|19|151-152|River Trail Nature Center|Tree Spade Work|EPR 4-92|2|2-92|0|0||837|00000309.PDF
3|19|139-150|River Trail Nature Center|Water and Sewer Improvements|90-17|12|11-90|0|0||838|00000310.PDF
3|19|138|River Trail Nature Center|Re-Roofing of Workshop|EPR 21-87|1|8-28-87|0|0||839|00000311.PDF
3|19|134-137|River Trail Nature Center|Resurfacing Curb and Gutter Replacement|85-09|4|5-85|0|0||840|00000312.PDF
3|19|132-133|River Trail Nature Center|Landscape Restoration|85-32|2|7-85|0|0||841|00000313.PDF
3|19|128-131|River Trail Nature Center and Camp Sagawau|Chain Link Fence|84-10|8|4-84|0|0||842|00000314.PDF
3|19|117-127|River Trail Nature Center|Restroom Addition for Nature Center Building|82-20|11|5-11-84|0|0||843|00000315.PDF
3|19|109-116|River Trail Nature Center , St Paul Woods , Clayton Smith Preserve|Pavement Repairs|81-15|8|5-81|3|19|109-116|1877|00000316.PDF
3|19||River Trail Nature Center|REROOFING OF NATURE CENTER BUILDING & RESIDENCE|78-27|1 of 3|10-78|||||00000317.PDF
3|19|103-105|Des Plaines Nature Center|Bituminous Concrete Resurfacing|EPR-25-76|3|9-76|0|0||845|00000318.PDF
3|19|100|Allison Woods|Proposed Lake|1068|1|3-29-57|0|0||847|00000319.PDF
3|19|097-099|River Trail Nature Center|Drainage Work|75-20|3|5-21-75|0|0||848|00000320.PDF
3|19|094-096|River Trail Nature Center|Gravel Trail Reconstruction and Grading|EPR-17-73|3|4-73|0|0||849|00000321.PDF
3|19|090-093|East Bank Des Plaines River at River Trail Nature Center|Erosion Control|73-32|4|12-19-73|0|0||850|00000322.PDF
3|19|084-089|River Trail Nature Center|Bituminous Macadamize Walks and Service Roads Gravel Trial Reconstruction and Grading|71-40|6|2-72|0|0||851|00000323.PDF
3|19|082-083|River Trail Nature Center|Concrete Trough and Septic System for Cages|EPR-20-71|2|7-71|0|0||852|00000324.PDF
3|19|079-081|River Trail Nature Center|Two Animal Enclosures|71-04|3|2-26-71|0|0||853|00000325.PDF
3|19|077-078|River Trail Nature Center|Three Drinking Fountains and Concrete Walk|EPR-63-71|2|70|0|0||854|00000326.PDF
3|19|058-061|Des Plaines Nature Center|Bituminous Macadamize Entrance Drive|1074|4||0|0||857|00000327.PDF
3|19|062-064|Des Plaines Nature Center|Concrete Walk|1076|3|6-24-58|0|0||856|00000328.PDF
3|19|055-057|Auxplines Nature Center and River Trail Nature Center and other locations|Five Masonry Pit Toilets|F.P. 6014|3|2-16-60|0|0||858|00000329.PDF
3|19|051-054|River Trail Nature Center|Pit Toilets Ventilation and Lightning|7087|4|7-2-64|3|19|51A-54A|1882|00000330.PDF
3|19|050|River Trail Nature Center|Water Line - Animal Cages|1114|1|6-15-66|0|0||861|00000331.PDF
3|19|044-049|River Trail Nature Center|Work Shop - Plot Plan|1106|6|6-12-63|0|0||862|00000332.PDF
3|19|042-043|River Trail Nature Center|Macadam Drive|1111|2||0|0||863|00000333.PDF
3|19|041|Allison Woods S. Nature Center Building|Wood Shelving and Cabinets||1|12-6-57|0|0||864|00000334.PDF
3|19||ALLISON WOODS SOUTH|PLANS - SECTIONS - DETAILS NATURE CENTER BUILDING||||||||00000335.PDF
3|19|035-036|North West Settlement Camp|Pump House Water System||2|3-4-41|0|0||866|00000336.PDF
3|19|029-033|North West Camp|Shower and Laundry Building||5|3-4-41|0|0||868|00000337.PDF
3|19|034|North West Settlement Camp|Plumbing||1|4-3-39|0|0||867|00000338.PDF
3|19||N.W. SETTLEMENT CAMP|GATE||||||||00000339.PDF
3|19||ALLISON WOODS SOUTH|NATURE CENTER BLDG & CARETAKERS COTTAGE||||||||00000340.PDF
3|19|011-013|Allison Woods - Nature Center|Underground Utilities|57|3|8-14-39|0|0||875|00000341.PDF
3|19|010|Koeppens Area - West of Milwaukee|Resurfacing|61|1|3-8-39|0|0||876|00000342.PDF
3|19|003-009|Allison Woods|Parking Area Improvements||7|4-28-36|0|0||877|00000343.PDF
3|19|001-002|Y.W.C.A. Lodge|Caretakers Quarters||2|7-18-53|0|0||878|00000344.PDF
3|13|03-019|Palwaukee , Touhy , E. First ,|Parking Area and Landscaping|3136|17|6-15-62|0|0||833|00000345.PDF
3|13|002|Palwaukee Woods|Concrete Wheel Stops|5204|1|8-14-62|0|0||832|00000346.PDF
3|13|001|Palwaukee|Concrete Wheel Stops||1|6-10-63|0|0||831|00000347.PDF
3|12|074-085|Various Locations , Dam # 1 , Harms ,   N - Elk Pasture - Schiller ,  North Fullerton , Maple Lake , Pulaski Crooked Creek , Saganashkee Slough , Swallow Cliff , Carlston Springs|1976 Traffic Line Markings|76-01|12|1-76|0|0||808|00000348.PDF
3|12|065-073|Dam # 1, Harms North ,  Schiller , Fullerton West , Thatcher|Bituminous Concrete Widening and Resurfacing|75-18|9|5-21-75|3|12|74-85|809|00000349.PDF
3|12|062-064|Dam # 1, Touhy Dam , Devon Dam|Erosion Control|72-10|3|3-72|0|0||810|00000350.PDF
3|12|058-061|Fullerton Woods  Dam 1 and Dam 4|Rehabilitation and Repair of Picnic Shelters|69-33|4|1970-02-13|0|0||811|00000351.PDF
3|12|056-057|Various Locations Dam # 1 Location 1, 2, 3|Bituminous Plant Mix Surface - Drives and Parking Areas|70-22|2|5-5-48|0|0||812|00000352.PDF
3|12|050-055|Trail Improvements|Concrete Culvert  and Earthwork|1089|6|6-12-62|0|0||813|00000353.PDF
3|12|036-049|Dam # 1 Woods|Bituminous Parking Area and Drive|1065|6|6-15-60|0|0||814|00000354.PDF
3|12|035|Dam # 1|Underground Electrical Service for Concession FPD division 1||1||0|0||815|00000355.PDF
3|12|030-034|Dam # 1|Parking Area||5|6-10-40|0|0||816|00000356.PDF
3|12|021-029|Dam # 1|Drive East of Des Plaines River|43|9|4-4-38|0|0||817|00000357.PDF
3|12|012-020|Dam # 1|Parking Space and Drive||9|3-12-38|0|0||818|00000358.PDF
3|12|02-011|Shelter at Dam # 1|Alterations and Additions|SP-46|10|11-16-36|0|0||819|00000359.PDF
3|12|001|Dam # 1 East side of Des Plaines River|Parking Space|CWA -104 / CO 152|1|2-21-34|0|0||820|00000360.PDF
||17|VARIOUS LOCATIONS|PAVEMENT MARKINGS|96-032|17|8-96|||||00000361.PDF
3|2|015-024|Equestrian Trail , Lake -Cook to Bridge over Des Plaines River , 750' East of Milwaukee|Earthwork - Drainage|85-03|10|3-85|0|0||803|00000362.PDF
3|2|001-014|Equestrian Overpass Over Des Plaines River|Equestrian Overpass|83-31|14|1-83|0|0||804|00000363.PDF
3|1|243-248|Des Plaines Division|Pavement Markings for Trail Crossings|EPR- 7-89|6|4-89|3|1|243-248|1875|00000364.PDF
3|1|236-242|Des Plaines Division|Bituminous Pavement Repairs and Resurfacing Various Locations|83-04|7|5-83|0|0||767|00000365.PDF
3|1|234-235|Wheeling Burning Site - 3 Fire Panels|Combustion Chamber|79-12|2|5-79|0|0||768|00000366.PDF
3|1|233|Northwood Burning Area|Route Study for Proposed Electrical Service||1|12-28-71|0|0||769|00000367.PDF
3|1|230-232|Wheeling Burning Area|Fire Door for Combustion Chamber|72-32|3|7-21-72|0|0||770|00000368.PDF
3|1|227-229|Wheeling Burning Area|Topography East of Combustion Chamber||3|2-73|0|0||771|00000369.PDF
3|1|223-226|Wheeling Burning Area and Northwest Division Headquarters|Fencing (Chain Link)|71-41|4|2-72|0|0||772|00000370.PDF
3|1|215-222|Lake-Cook Road at Milwaukee to McHenry|Paving Improvement of Intersection||8|11-20-70|0|0||773|00000371.PDF
3|1|212-214|Lake Cook Road Milwaukee to Sanders|Paving Improvement||3|8-10-70|0|0||774|00000372.PDF
3|1|108-211|Dundee to Des Plaines to Landwehr|Reconstruction||4|11-4-69|0|0||775|00000373.PDF
3|1|107|Wheeling Burning Area|Wind Restraining Walls||1|9-71|0|0||776|00000374.PDF
3|1|102-106|Potawatomi Woods , Wheeling Burning Area|Combustion Chamber and Fill Area|71-14|5|70|0|0||777|00000375.PDF
3|1|101|Wheeling Burning Area|Service Yard Drainage|EPR-12|1|2-26-70|0|0||778|00000376.PDF
3|1|099-100|Potawatomi  Woods|Landscape Plan|EPR-34|2|4-30-69|0|0||779|00000377.PDF
3|1|092-098|Potawatomi Woods|Ditch Widening and Grading|68-08|7|2-6-68|0|0||780|00000378.PDF
3|1|088-091|Wheeling and Burning Area|Washroom Building|68-28|4|4-10-68|0|0||781|00000379.PDF
3|1|071-087|Potawatomi Woods Location 1|Pavement Construction  - 3 Locations|68-04|17|3-8-68|0|0||782|00000380.PDF
3|1|070|Wheeling Burning Site|Septic Tank and Drain Field|EPR-115|1|11-20-68|0|0||783|00000381.PDF
3|1|069|Northwest Buring Site|Fence Relocation||1|9-22-67|0|0||784|00000382.PDF
3|1|061-068|Potawatomi Woods , Location 1 ,  Dam  # 1|Repairs and Rehabilitation of Shelters|1151|8|9-5-67|0|0||785|00000383.PDF
3|1|059-060|Potawatomi Woods , Location 1|Well Platforms - 1953|7048|2|6-1-53|0|0||786|00000384.PDF
3|1|056-058|Potawatomi Woods , Location 1|Bituminous Surface - Driveway and Parking||3|8-25-47|0|0||787|00000385.PDF
3|1|052-055|Potawatomi Woods , Park Ridge State Park 46|Parking Area|49|4|8-15-38|0|0||788|00000386.PDF
3|1|051|North Burning Site|Fencing||1|66|0|0||789|00000387.PDF
3|1|044-050|Various Locations - Potawotomi Woods|Shelter Terraces|7095|7|8-3-65|0|0||790|00000388.PDF
3|1|042-043|Potawatomi Woods Big Bend Lake Woods|Bituminous Parking Area and Drive|1088|2|7-5-60|0|0||791|00000389.PDF
3|1|038-041|Portwine and Entrance to Boy Scout Camp|Drainage Ditch||4||0|0||792|00000390.PDF
3|1|024-037|Potawatomi Woods|Driveway and Parking Areas|1082|14|3-18-60|0|0||793|00000391.PDF
3|1|020-023|Potawatomi Woods|Proposed Lake - Staking Plan||4|1-58|0|0||794|00000392.PDF
3|1|018-019|Camp Dan Beard|Underground  Electrical Services|1049|2|5-24-51|0|0||795|00000393.PDF
3|1|009-017|Potawatomi Woods|8 Unit Cabin|55|9|1-18-39|0|0||796|00000394.PDF
3|1|009-017|Potawatomi Woods|8 Unit Cabin|55|9|1-18-39|0|0||796|00000395.PDF
3|1|005-008|Potawatomi Woods|Cross Sections - Proposed Lake||4|2-4-58|0|0||797|00000396.PDF
3|1|002-004|Dundee Road and Des Plaines River|Parking Space and Entrance Drive||3|11-20-34|0|0||798|00000397.PDF
3|1|001|East and Northeast of Dam # 1|Profile of Ditch||1|33|0|0||799|00000398.PDF
4|31||BECK LAKE|RESURFACING OF DRIVEWAY AND PARKING AREAS|91-04|||||||00000399.PDF
4|36|170-178|NORTH BRANCH BICYCLE TRAIL|REHABILITATION, GOLF ROAD TO EAST LAKE AVENUE|92-15|9|7-92|4|36|170-178|1680|00000400.PDF
4|36|165-169|SKOKIE FORESTRY HEADQUARTERS|FUEL PUMP AND STROAGE TANK|86-25|5|MAR. 20, '87|0|0||1006|00000401.PDF
4|36|159-164|SKOKIE DIVISION|BITUMINOUS CONCRETE RESURFACING, VARIOUS LOCATIONS|82-19|6|8-82|4|36|159-164|1007|00000402.PDF
4|36|156-158|NORTH BRANCH, INDIAN BOUNDARY & SAG VALLEY|PAVEMENT STRIPPING|EPR 10-83|3|3-83|0|0||1008|00000403.PDF
4|36|154|NEW DIVISION HDQRTS., BUILDING|REVISED PLAN OF ELECTRICAL SERVICE|77-08|1|6-22-77|0|0||1010|00000404.PDF
4|36|150-153|SKOKIE DIV. FORESTRY HDQTS.- CALDWELL G.C.|CHAIN LINK FENCING|78-16|4|7-78|0|0||1011|00000405.PDF
4|36|101-126|BICYCLE TRAIL-GOLF RD. TO EAST LAKE AVE.|EARTHWORK, BIT. SURF. AND DRAINAGE|73-18|26|5-23-73|4|36|101-126|1013|00000406.PDF
4|36|099-100|NIXON WOODS|REROOFING FORESTRY BUILDING|74-20|2|6-21-74|0|0||1014|00000407.PDF
4|36|089-098|CHERRY HILL-COUNTRY LANE WOODS-BURR OAK WOODS-SCHILLER WOODS EAST-LA BAG WOODS WEST-BLUE STAR MEMORIAL WOODS|EIGHT (8) PICNIC SHELTERS|72-02|10|1972-02-25|0|0||1015|00000408.PDF
4|36|082-088|SKOKIE FORESTRY HDQRTS.-NORTHWEST FORESTRY HDQTS.-SALT CREEK NURSERY|PAVEMENT RECONSTRUCTION|72-05|7|FEB. '72|0|0||1016|00000409.PDF
4|36|066-068|FORESTRY HDQTS.-SKOKIE DIVISION|BIT. CONC. RESURF.|68-38|3|6-5-69|0|0||1019|00000410.PDF
4|36|077-081|BLUE STAR WOODS|LANDSCAPE WORK|72-37|5|AUG.'72|0|0||1017|00000411.PDF
